company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
KPMG India,3.5,5k,1k,745,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",Average
Max Life Insurance,4.1,5k,269,279,"Skill Development / Learning, Company Culture, Job Security",,High
Ujjivan Small Finance Bank,4.1,5k,17,208,"Company Culture, Job Security, Skill Development / Learning",,High
Udaan,4.0,5k,5,328,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security,Average
Oracle,3.7,4.9k,177,841,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Average
Tata Projects,4.3,4.8k,36,380,"Job Security, Company Culture, Salary & Benefits",,High
Muthoot Finance,3.6,4.7k,30,240,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
Megha Engineering & Infrastructures,4.0,4.7k,16,414,Job Security,Promotions / Appraisal,Average
Ekart Logistics,4.0,4.7k,--,284,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,Average
eClerx,3.4,4.6k,59,471,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Omega Healthcare,3.8,4.6k,49,397,,"Promotions / Appraisal, Salary & Benefits",Average
Aurobindo Pharma,4.0,4.5k,14,222,"Job Security, Salary & Benefits, Work Life Balance",,Average
JLL,4.2,4.5k,36,321,"Job Security, Skill Development / Learning, Company Culture",,High
Shapoorji Pallonji Group,4.2,4.5k,12,310,"Job Security, Work Life Balance, Skill Development / Learning",,High
Bajaj Allianz Life Insurance,4.0,4.5k,6,305,"Salary & Benefits, Work Life Balance, Job Security",,Average
Siemens,4.1,4.4k,702,404,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
Coforge,3.4,4.4k,147,484,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Virtusa Consulting Services,3.8,4.3k,830,530,,Promotions / Appraisal,Average
Indiamart Intermesh,3.5,4.3k,294,534,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Ashok Leyland,4.1,4.3k,1,221,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal,High
Apollo Hospitals,4.1,4.3k,93,311,"Job Security, Skill Development / Learning, Company Culture",,High
