company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Rallis India,4.3,616,--,38,"Job Security, Company Culture, Work Life Balance",,High
Target,4.2,616,114,105,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,High
Brane Enterprises,2.2,616,--,122,,"Job Security, Company Culture, Work Satisfaction",Below Average
Navayuga Engineering Company,4.0,615,10,40,Job Security,,Average
Progressive Infotech,3.5,615,23,35,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Integra Software Services,3.9,615,9,31,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Wonder Home Finance,4.7,614,4,43,"Company Culture, Skill Development / Learning, Job Security",,High
Veradigm,4.1,614,--,40,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,High
Quess IT Staffing Solutions,3.3,614,1,34,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Average
CSM Technologies,4.4,614,4,26,"Job Security, Work Life Balance, Work Satisfaction",,High
eTeam,3.2,613,--,35,,"Promotions / Appraisal, Job Security, Company Culture",Average
KaaShiv InfoTech Company,4.9,613,--,14,"Work Satisfaction, Skill Development / Learning, Company Culture",,High
Lumen Technologies,4.0,612,20,49,"Work Life Balance, Job Security, Company Culture",,Average
Rohan Builders,4.2,611,18,39,"Salary & Benefits, Job Security, Company Culture",,High
Investors Clinic,3.7,610,23,44,Skill Development / Learning,,Average
ESL Steel,4.1,610,--,29,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,High
First Advantage,3.8,609,12,21,Company Culture,Promotions / Appraisal,Average
Vaco Binary Semantics,3.4,609,26,73,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",Average
RAMTeCH Software Solutions,3.8,609,6,30,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Varthana,4.4,609,11,32,"Work Life Balance, Company Culture, Salary & Benefits",,High
Yokohama Off-Highway Tires,3.7,608,--,46,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
Steag Energy Services,4.2,608,7,32,"Job Security, Work Life Balance, Skill Development / Learning",,High
Electronica Finance,4.1,608,27,40,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,High
Carborundum Universal,3.9,607,--,30,Job Security,Promotions / Appraisal,Average
Swaraj Tractors,4.2,606,--,35,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
ALTEN,3.7,606,25,81,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Average
CRB Tech Solution,4.1,605,--,12,"Skill Development / Learning, Salary & Benefits, Company Culture",,High
Primus Global Technologies,4.0,605,4,23,"Work Life Balance, Company Culture, Work Satisfaction",,Average
Rico Auto Industries,3.8,605,7,40,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Engineers India,4.4,604,6,71,"Work Life Balance, Skill Development / Learning, Company Culture",,High
Sandvik Asia,4.3,604,--,30,"Company Culture, Salary & Benefits, Job Security",,High
Acme Cleantech Solutions,3.9,604,1,45,Salary & Benefits,"Job Security, Promotions / Appraisal",Average
Assystem,3.8,604,4,38,,Promotions / Appraisal,Average
Eveready Industries,4.0,604,--,32,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Kurlon,4.3,603,--,35,"Work Life Balance, Company Culture, Work Satisfaction",,High
Mahindra Automotives,4.1,602,--,27,"Job Security, Skill Development / Learning",,High
Skipper,3.8,602,8,34,,Promotions / Appraisal,Average
Innodata India Private Limited,3.5,602,14,68,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Average
Epsilon,4.0,602,10,84,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,Average
Jaya Hind Industries,3.7,601,--,48,,"Job Security, Promotions / Appraisal",Average
TCNS Clothing Company,4.0,600,--,20,"Skill Development / Learning, Job Security, Work Life Balance",,Average
L&T Power,4.0,599,--,31,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Greenlam Industries,4.2,598,--,40,"Job Security, Company Culture, Skill Development / Learning",,High
Pratap Technocrats,3.9,597,--,19,Work Life Balance,Promotions / Appraisal,Average
Radical Minds,2.9,596,--,52,,"Promotions / Appraisal, Job Security, Salary & Benefits",Below Average
Jaro Education,2.5,595,11,121,,"Work Life Balance, Work Satisfaction, Job Security",Below Average
Denave,3.7,595,41,39,,"Promotions / Appraisal, Job Security",Average
Hitachi,4.1,594,15,74,"Company Culture, Work Life Balance, Job Security",,High
McDermott International,4.3,594,65,49,"Company Culture, Work Life Balance, Salary & Benefits",,High
Baxter International,4.0,594,3,37,"Work Life Balance, Salary & Benefits, Company Culture","Promotions / Appraisal, Job Security",Average
LifeCell International,3.4,594,12,41,,"Promotions / Appraisal, Job Security, Company Culture",Average
PUMA,4.3,594,16,48,"Job Security, Company Culture, Skill Development / Learning",,High
Hitachi Energy,4.2,593,317,75,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,High
Zydus Healthcare,4.0,593,--,42,"Salary & Benefits, Skill Development / Learning, Company Culture",,Average
MagicBricks,3.1,592,22,49,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Biba Apparels,3.9,592,--,38,Skill Development / Learning,Promotions / Appraisal,Average
Maveric Systems,3.6,592,4,110,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
CIEL HR,4.1,592,32,46,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,High
Vijay Sales,4.1,592,1,44,"Job Security, Salary & Benefits",,High
Wipro Infrastructure Engineering,3.8,591,11,53,,"Promotions / Appraisal, Salary & Benefits",Average
HIL,4.1,590,6,47,"Job Security, Company Culture, Skill Development / Learning",,High
Siemens Energy,4.2,590,70,64,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,High
DAV Public School,4.1,589,--,26,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",,High
Columbia Asia,4.5,589,--,19,"Company Culture, Skill Development / Learning, Job Security",,High
Shaktiman Tirth Agro Technology,4.2,589,--,40,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,High
Kutumbh Care,3.9,588,--,32,"Work Satisfaction, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Ups Logistics,3.8,588,67,60,"Job Security, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning",Average
Sharda Motor Industries,3.8,587,--,37,Job Security,Promotions / Appraisal,Average
Rodic Consultants,4.3,587,--,31,"Work Life Balance, Company Culture, Work Satisfaction",,High
MOURI Tech,3.8,587,85,58,,"Promotions / Appraisal, Job Security",Average
India Cements,3.8,586,--,45,"Job Security, Work Life Balance",Promotions / Appraisal,Average
SKH Metals,4.0,586,12,49,"Skill Development / Learning, Company Culture, Salary & Benefits",,Average
Cigniti Technologies,3.7,586,9,73,,Promotions / Appraisal,Average
Carnival Cruise Lines,4.3,586,--,14,"Company Culture, Job Security, Skill Development / Learning",,High
Nippon Life India Asset Management,4.7,586,2,18,"Company Culture, Work Life Balance, Job Security",,High
Ramco Systems,3.5,586,11,43,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",Average
Advik Hi Tech,3.8,586,2,45,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",Average
Neeyamo Enterprise Solutions,3.7,585,7,53,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",Average
Finolex Cables,3.8,585,18,38,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Ienergizer BPO Services,4.1,585,--,68,"Job Security, Company Culture, Salary & Benefits",,High
Orient Electric,3.8,583,29,38,,Promotions / Appraisal,Average
Thermo Fisher Scientific,3.9,583,1,56,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Petpooja,4.3,583,52,40,"Company Culture, Skill Development / Learning, Work Life Balance",,High
Government of India,4.3,583,--,52,"Job Security, Work Life Balance, Work Satisfaction",,High
Ukb Electronics,4.1,581,1,41,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",,High
McKinsey & Company,4.0,580,1,250,"Salary & Benefits, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
ICA Edu Skills,3.8,580,3,33,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Qualitest,3.7,580,12,71,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Luxoft,3.8,580,53,111,Work Life Balance,"Promotions / Appraisal, Job Security",Average
Careernet,3.7,580,31,32,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
IFFCO,4.1,580,--,36,"Job Security, Work Life Balance, Salary & Benefits",,High
Fleetguard Filters,4.3,580,21,41,"Company Culture, Salary & Benefits, Work Life Balance",,High
Hitachi Digital Services,3.7,580,30,59,Work Life Balance,Promotions / Appraisal,Average
Lea Associates South Asia,4.3,580,--,22,"Work Life Balance, Company Culture, Work Satisfaction",,High
Teamware Solutions,4.3,579,35,37,"Work Life Balance, Company Culture, Work Satisfaction",,High
Bhanzu,3.9,579,27,52,"Salary & Benefits, Skill Development / Learning, Company Culture",,Average
World Network Services,3.4,579,--,40,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
EMERSON PROCESS MANAGEMENT,4.0,579,--,46,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Average
Magna International,4.0,579,42,38,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Central Industrial Security Force,4.5,579,--,16,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,High
ACTE,4.7,578,--,7,"Work Satisfaction, Job Security, Salary & Benefits",,High
Ugam Solution,3.6,578,9,48,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Sun Life Financial,4.2,578,33,42,"Job Security, Company Culture, Work Life Balance",,High
Zuventus Healthcare,3.9,577,89,36,,Promotions / Appraisal,Average
Royal Migration Solutions,4.9,576,--,1,"Salary & Benefits, Company Culture, Job Security",,High
India Shelter Finance Corporation,4.0,574,--,26,"Skill Development / Learning, Job Security, Salary & Benefits",,Average
Chennai Radha Engineering Works,4.0,574,7,22,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Average
Microtek International,3.7,574,9,34,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Vastu Housing Finance,4.3,574,5,37,"Salary & Benefits, Company Culture, Skill Development / Learning",,High
Sunbeam Auto,3.7,574,--,38,,"Promotions / Appraisal, Company Culture, Salary & Benefits",Average
GlaxoSmithKline Consumer Healthcare,4.4,573,--,26,"Work Life Balance, Company Culture, Skill Development / Learning",,High
Hindware Limited,3.9,573,14,43,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,Average
Somany Ceramics,4.2,573,5,13,"Job Security, Work Life Balance, Company Culture",,High
VA Tech Wabag,3.9,572,5,45,Job Security,Promotions / Appraisal,Average
Rane (Madras),4.0,571,29,30,"Skill Development / Learning, Job Security, Work Satisfaction",,Average
Toyo Engineering,4.0,571,9,50,Job Security,,Average
Integreon,3.3,571,11,40,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Average
ShareChat,3.7,570,3,77,Salary & Benefits,"Job Security, Promotions / Appraisal",Average
TO THE NEW,3.8,570,18,117,Company Culture,,Average
IBS Software Services,3.7,570,24,98,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Lovely Professional University,3.4,569,9,53,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Average
Amazon Sellers Services,4.1,569,--,101,"Salary & Benefits, Company Culture, Skill Development / Learning",,High
Isuzu Motors,4.1,567,--,33,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",High
Bayer Crop Science Vegetable Seeds,4.4,567,--,26,"Skill Development / Learning, Company Culture, Work Life Balance",,High
EaseMyTrip.com,4.4,567,--,21,"Skill Development / Learning, Work Life Balance, Job Security",,High
Hapag-Lloyd,3.8,566,2,22,"Company Culture, Job Security",Promotions / Appraisal,Average
Religare,3.7,566,22,27,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Average
Flash Electronics,3.7,566,--,27,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
NSB Bpo Solutions,2.8,566,2,29,,"Promotions / Appraisal, Salary & Benefits, Job Security",Below Average
Wipro Consumer Care & Lighting,3.9,566,9,54,Job Security,Promotions / Appraisal,Average
Linde India,4.1,565,--,45,"Work Life Balance, Job Security, Skill Development / Learning",,High
JK Paper,3.9,565,4,47,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Hitachi Systems Micro Clinic,3.9,565,4,23,"Work Life Balance, Job Security",Promotions / Appraisal,Average
Sutherland Healthcare Solutions,3.9,564,--,43,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
K Raheja Corp,4.3,564,17,39,"Work Life Balance, Company Culture, Job Security",,High
Transsion,4.2,564,2,29,"Job Security, Company Culture, Work Life Balance",,High
CMS Computers Limited (INDIA),3.8,564,12,33,,"Promotions / Appraisal, Salary & Benefits",Average
Tiger Analytics,3.6,564,42,196,,"Promotions / Appraisal, Work Satisfaction, Job Security",Average
Navitasys India,4.0,564,--,39,"Salary & Benefits, Skill Development / Learning, Job Security",,Average
Indo Autotech,3.8,564,1,32,,Job Security,Average
Progressive Infovision,4.2,563,--,18,"Work Life Balance, Company Culture, Work Satisfaction",,High
Impact Guru,4.5,563,59,34,"Company Culture, Work Satisfaction, Skill Development / Learning",,High
Dhani Services,3.6,563,8,19,,"Job Security, Promotions / Appraisal, Company Culture",Average
Thriveni Earthmovers,4.0,562,1,43,"Skill Development / Learning, Job Security, Salary & Benefits",,Average
Rentokil Pest Control,3.7,562,15,27,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Rackspace,3.9,561,37,69,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security",Average
Redington,4.0,561,--,30,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Mott MacDonald,4.3,560,101,39,"Company Culture, Work Life Balance, Work Satisfaction",,High
Bses Rajdhani Power,3.7,559,--,34,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Guidehouse,3.9,559,67,57,"Salary & Benefits, Job Security",Promotions / Appraisal,Average
National Payments Corporation of India,4.0,558,38,55,"Job Security, Skill Development / Learning, Work Satisfaction",,Average
Ingram Micro,3.9,557,26,29,"Job Security, Company Culture",Promotions / Appraisal,Average
TIAA Global Business Services,3.9,557,20,47,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal,Average
WSP,4.3,555,75,84,"Company Culture, Work Life Balance, Job Security",,High
National Informatics Centre,4.0,555,--,35,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Micromax Informatics,3.6,554,--,21,,"Promotions / Appraisal, Company Culture, Job Security",Average
TDK India Private Limited,3.9,554,--,29,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Poorvika Mobiles,4.6,553,2,26,"Job Security, Company Culture, Skill Development / Learning",,High
Hilti,3.6,553,27,57,,"Promotions / Appraisal, Work Satisfaction",Average
Psp Projects,3.9,553,4,44,,Promotions / Appraisal,Average
Ihg Group,4.0,552,41,35,"Company Culture, Job Security, Work Life Balance",,Average
Tavant Technologies,3.9,552,5,68,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Apar Industries,4.1,551,3,36,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,High
Csc E Governance Services,3.9,550,2,30,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Forvia Hella,4.1,550,25,32,"Work Life Balance, Job Security, Company Culture",,High
IDEMIA,4.1,550,18,42,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,High
Mynd Solutions Private,3.6,549,18,26,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Principal Global Services,4.1,549,1,63,"Job Security, Work Life Balance, Company Culture",,High
Zee Entertainment Enterprises,3.5,549,3,46,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Wapcos,3.4,549,--,29,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Action Construction Equipment,3.8,547,--,55,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Average
Ness Digital Engineering,3.4,547,18,60,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Experis IT,3.1,547,--,42,,"Promotions / Appraisal, Skill Development / Learning, Job Security",Average
Clarivate,3.9,547,32,69,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning",Average
Vijaya Diagnostic Centre,3.9,547,21,30,"Skill Development / Learning, Company Culture",,Average
Amadeus,4.0,547,22,101,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Average
Titan Eye Plus,4.3,545,--,27,"Skill Development / Learning, Company Culture, Work Satisfaction",,High
Sona Comstar,4.2,545,--,47,"Skill Development / Learning, Company Culture, Job Security",,High
Genpact Headstrong Capital Markets,3.8,545,--,94,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Average
Caparo Engineering India,4.0,544,--,24,,,Average
M3M India,4.1,544,--,43,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,High
PeopleStrong,3.5,544,32,47,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
Fedbank Financial Services,4.1,544,30,27,"Salary & Benefits, Company Culture, Work Life Balance",,High
MAS Financial Services,3.6,544,26,32,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",Average
Crowne Plaza,4.1,543,--,22,"Skill Development / Learning, Company Culture, Work Satisfaction",,High
The Lalit,3.6,543,2,18,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Creambell,4.1,543,2,25,"Salary & Benefits, Work Life Balance",,High
Steel Authority Of India,4.1,542,--,35,"Job Security, Work Life Balance, Work Satisfaction",,High
Syneos Health,3.9,542,29,43,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Raychem RPG,3.9,541,--,22,Skill Development / Learning,Promotions / Appraisal,Average
Deepak Nitrite,4.0,541,22,43,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Echobooom Management & Entrepreneurial Solutions,3.8,541,51,74,"Skill Development / Learning, Company Culture, Promotions / Appraisal",,Average
ExcelR Solutions,3.7,541,3,18,,Promotions / Appraisal,Average
Epicenter Technologies,3.6,540,6,36,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Technip Energies,4.0,540,67,70,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Bridge & Roof Co,3.5,540,--,23,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Adidas,4.0,540,77,71,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Expleo Solutions,3.9,540,--,52,Work Life Balance,Promotions / Appraisal,Average
Ag Industries,4.0,539,--,38,"Work Life Balance, Job Security, Company Culture",,Average
Metso Outotec,4.2,539,4,50,"Work Life Balance, Company Culture, Job Security",,High
Bikanervala,4.0,538,--,18,,Promotions / Appraisal,Average
Credence Resource Management,3.5,537,39,28,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Molex,3.9,537,--,50,,Promotions / Appraisal,Average
BDO India LLP,3.5,537,102,67,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Nexdigm,3.7,536,29,44,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Indostar Capital Finance,4.5,536,3,24,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Koenig Solutions,3.2,536,17,27,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Lambda Therapeutic Research,4.6,536,26,15,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",,High
Welspun World,3.7,535,27,41,,Promotions / Appraisal,Average
Testbook.com,3.6,535,60,88,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
GAMMON INDIA,3.9,534,--,29,"Job Security, Company Culture",,Average
Micro Turners,3.8,534,4,27,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Wipro Digital,3.5,533,--,63,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Alshaya Group,4.0,533,2,41,"Work Life Balance, Job Security",Promotions / Appraisal,Average
Collegedunia,2.8,533,54,79,,"Job Security, Promotions / Appraisal, Work Satisfaction",Below Average
Poly Medicure,3.7,533,6,52,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Tata Power Delhi Distribution,4.0,532,--,26,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Medlife,3.7,532,--,27,,"Job Security, Promotions / Appraisal, Salary & Benefits",Average
Medreich,3.8,532,5,44,Job Security,,Average
Reliance Smart,4.2,532,--,27,"Skill Development / Learning, Job Security, Company Culture",,High
Telenor,4.3,532,--,7,"Company Culture, Work Life Balance, Salary & Benefits",,High
Aequs,3.6,532,13,29,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Travel Food Services,3.9,531,--,27,"Job Security, Work Life Balance",Promotions / Appraisal,Average
UKG,3.2,531,80,87,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
MothersonSumi INfotech & Designs,3.3,530,10,32,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Diebold Nixdorf,3.9,530,52,44,Work Life Balance,Promotions / Appraisal,Average
Smollan Group,4.2,530,2,33,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,High
PrimEra Medical Technologies,3.9,529,38,60,Job Security,,Average
Wuerth,3.8,529,4,34,,"Promotions / Appraisal, Work Satisfaction",Average
India Japan Lighting,4.3,528,--,45,"Company Culture, Work Life Balance, Job Security",,High
Encore Capital Group,4.1,528,--,30,"Company Culture, Work Life Balance, Skill Development / Learning",,High
BASF,4.5,528,--,30,"Company Culture, Work Life Balance, Job Security",,High
Fidelity International,4.0,527,6,51,"Work Life Balance, Company Culture, Salary & Benefits",,Average
Alorica,3.1,527,12,67,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Medikabazaar,4.6,527,--,11,"Work Life Balance, Salary & Benefits, Work Satisfaction",,High
Mount Litera Zee School,4.0,526,2,34,Skill Development / Learning,,Average
SLMG Beverages,4.0,526,2,33,Skill Development / Learning,Promotions / Appraisal,Average
Osource Global,3.9,526,12,20,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",Average
BankBazaar,3.4,526,17,49,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
Sterlite Power,3.9,526,26,23,"Salary & Benefits, Skill Development / Learning",,Average
Royal Caribbean International,4.5,525,--,16,"Company Culture, Skill Development / Learning, Salary & Benefits",,High
LanceSoft,3.2,525,26,53,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Axtria,3.0,525,23,102,,"Work Life Balance, Work Satisfaction, Company Culture",Below Average
Greenply,4.0,525,4,34,Salary & Benefits,,Average
MPS Limited,3.8,524,13,18,,"Promotions / Appraisal, Salary & Benefits",Average
UnitedLex,3.1,524,29,67,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Celebal Technologies,3.1,524,9,107,,"Job Security, Promotions / Appraisal, Salary & Benefits",Average
Veritas,4.0,523,5,58,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,Average
Rockwell Automation,3.8,523,6,68,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Jain Irrigation Systems,4.1,522,--,20,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",High
NRB Bearings,4.2,522,--,36,"Work Life Balance, Job Security, Skill Development / Learning",,High
Quatrro,3.5,522,--,31,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
JSW Paints,3.9,522,--,64,,Promotions / Appraisal,Average
Ather Energy,4.1,521,2,48,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,High
Sl Lumax,3.5,521,1,25,,"Work Life Balance, Company Culture, Work Satisfaction",Average
Hinduja Housing Finance,3.7,520,32,29,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Ask Automotive,4.1,519,--,25,"Job Security, Work Life Balance, Salary & Benefits",,High
Y-Axis Overseas Careers,3.4,519,17,27,,"Promotions / Appraisal, Company Culture, Work Life Balance",Average
Goodyear,3.8,519,20,48,,"Promotions / Appraisal, Work Satisfaction",Average
Casagrand,3.9,519,14,50,Job Security,Promotions / Appraisal,Average
Allied Digital Services,3.5,518,5,42,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Neuland Laboratories,4.0,517,5,41,Company Culture,Promotions / Appraisal,Average
Turbo Energy,4.2,517,--,21,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,High
Dhani Healthcare,3.6,516,--,58,,"Job Security, Promotions / Appraisal, Company Culture",Average
Lionbridge Technologies,3.7,516,14,33,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Lenovo,4.4,516,6,32,"Work Life Balance, Company Culture, Skill Development / Learning",,High
EPL Limited,3.9,515,--,19,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
Times Group,3.9,514,16,26,Work Life Balance,Promotions / Appraisal,Average
Marlabs,3.3,514,3,35,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Qatar Airways,3.9,514,1,58,"Salary & Benefits, Skill Development / Learning",,Average
Fiat India Automobiles,3.6,514,--,37,,"Promotions / Appraisal, Work Life Balance, Company Culture",Average
Hindustan Sanitaryware & Industries,4.1,514,--,21,"Work Life Balance, Job Security, Skill Development / Learning",,High
AVEVA,4.3,514,60,24,"Work Life Balance, Company Culture, Job Security",,High
Writer Corporation,3.7,514,40,27,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
CTS Consulting & Technical Support,3.8,513,--,153,,Promotions / Appraisal,Average
Affinity Express,3.0,513,24,34,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Below Average
Patel Infrastructure,3.9,513,--,25,"Work Life Balance, Work Satisfaction",Promotions / Appraisal,Average
TTK Prestige,3.9,513,9,34,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Wipro PARI,3.5,513,12,38,,"Work Life Balance, Company Culture, Promotions / Appraisal",Average
Bharti Infratel,4.4,512,--,4,"Company Culture, Skill Development / Learning, Work Satisfaction",,High
Yatra,3.4,512,2,30,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Average
Housing.com,3.7,512,73,68,"Salary & Benefits, Company Culture, Work Life Balance","Promotions / Appraisal, Job Security",Average
Grab A Grub Services,3.9,512,--,27,,"Job Security, Promotions / Appraisal",Average
Apple,4.2,512,--,133,"Salary & Benefits, Company Culture, Work Life Balance",,High
Ramky Infrastructure,4.2,511,6,39,"Job Security, Company Culture, Skill Development / Learning",,High
RR kabel,4.1,511,1,40,"Job Security, Work Life Balance, Company Culture",,High
Aurigo,4.8,511,24,13,"Company Culture, Salary & Benefits, Skill Development / Learning",,High
Thryve Digital,4.0,511,12,60,"Work Life Balance, Job Security, Company Culture",,Average
Holiday Inn,4.0,510,--,16,"Job Security, Skill Development / Learning",,Average
HRH Next Services,3.1,510,--,42,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",Average
ChannelPlay,3.9,510,4,20,"Company Culture, Work Life Balance",Promotions / Appraisal,Average
Victora Auto Private Limited,3.9,510,--,27,,Promotions / Appraisal,Average
Shivam Autotech,3.7,509,--,28,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",Average
CtrlS,4.0,509,4,37,"Salary & Benefits, Skill Development / Learning, Job Security",,Average
Bunge India,4.0,508,96,34,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,Average
Jai Balaji Group,3.6,508,1,35,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
